date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:12:56	12353/12353	---M-Z	200	added ('OK')	text/html	etag:20cf0fcbc2aed8d4dcb5ed9ab5982ca9	http://wpgabriel.wix.com/grobatavia	C:/Users/BillG/Dropbox/Work/101/grobatavia/GROBatavia/wpgabriel.wix.com/grobatavia.html	(from )
22:12:56	543/543	---M--	200	added ('OK')	text/plain	date:Wed,%2028%20Jan%202015%2004:12:55%20GMT	http://wpgabriel.wix.com/robots.txt		(from )
22:12:56	2213/2213	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Jan%202015%2004:12:56%20GMT	http://wpgabriel.wix.com/get	C:/Users/BillG/Dropbox/Work/101/grobatavia/GROBatavia/wpgabriel.wix.com/get	(from http://wpgabriel.wix.com/grobatavia)
22:12:57	15219/15219	---M-Z	200	added ('OK')	application/x-javascript	etag:%22b7336a4f7ba5bbfbc1f9d7e4fd2df7b915219%22	http://static.parastorage.com/services/third-party/requirejs/2.1.15/require.min.js	C:/Users/BillG/Dropbox/Work/101/grobatavia/GROBatavia/static.parastorage.com/services/third-party/requirejs/2.1.15/require.min.js	(from http://wpgabriel.wix.com/grobatavia)
22:12:57	28969/28969	---M-Z	200	added ('OK')	application/x-javascript	etag:%222028a63e37be2edb36c7ab74c28b725628969%22	http://static.parastorage.com/services/santa-versions/1.136.0/main-r.js	C:/Users/BillG/Dropbox/Work/101/grobatavia/GROBatavia/static.parastorage.com/services/santa-versions/1.136.0/main-r.js	(from http://wpgabriel.wix.com/grobatavia)
22:12:57	5788/5788	---M-Z	200	added ('OK')	text/css	etag:%22481341760962b6b5a06b6c2e8dc542765788%22	http://static.parastorage.com/services/santa-versions/1.136.0/viewer.css	C:/Users/BillG/Dropbox/Work/101/grobatavia/GROBatavia/static.parastorage.com/services/santa-versions/1.136.0/viewer.css	(from http://wpgabriel.wix.com/grobatavia)
22:12:57	2213/2213	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Jan%202015%2004:12:56%20GMT	http://wpgabriel.wix.com/	C:/Users/BillG/Dropbox/Work/101/grobatavia/GROBatavia/wpgabriel.wix.com/index.html	(from http://wpgabriel.wix.com/grobatavia)
22:12:57	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Wed,%2028%20Jan%202015%2004:12:57%20GMT	http://wpgabriel.wix.com/GET	C:/Users/BillG/Dropbox/Work/101/grobatavia/GROBatavia/wpgabriel.wix.com/GET	(from http://static.parastorage.com/services/santa-versions/1.136.0/main-r.js)
